date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:07	67/67	---MC-	200	added ('OK')	text/plain	date:Sun,%2017%20Nov%202019%2021:40:05%20GMT	http://www.mattsexpresscarwash.com/robots.txt		(from )
13:40:09	65897/65897	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202019%2021:40:06%20GMT	http://www.mattsexpresscarwash.com/	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/index.html	(from )
13:40:10	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2017%20Nov%202019%2021:40:08%20GMT	http://www.mattsexpresscarwash.com/xmlrpc.php	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/xmlrpc.php	(from http://www.mattsexpresscarwash.com/)
13:40:10	15093/15093	---M--	200	added ('OK')	text/css	etag:%22a740cdc-3af5-594eb936a1c99%22	http://www.mattsexpresscarwash.com/wp-content/plugins/instagram-feed/css/sb-instagram-2-0-2.min.css?ver=2.0.2	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-content/plugins/instagram-feed/css/sb-instagram-2-0-2.min4c56.css	(from http://www.mattsexpresscarwash.com/)
13:40:12	29295/29295	---M--	200	added ('OK')	text/css	etag:%22a7408b3-726f-594eb93651b58%22	http://www.mattsexpresscarwash.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.4	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-includes/css/dist/block-library/style.min4d2c.css	(from http://www.mattsexpresscarwash.com/)
13:40:18	47558/47558	---M--	200	added ('OK')	text/css	etag:%22a7408ab-b9c6-594eb93651388%22	http://www.mattsexpresscarwash.com/wp-includes/css/dashicons.min.css?ver=5.2.4	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-includes/css/dashicons.min4d2c.css	(from http://www.mattsexpresscarwash.com/)
13:40:20	717558/717558	---M--	200	added ('OK')	text/css	etag:%22a742d1c-af2f6-594eb93655208%22	http://www.mattsexpresscarwash.com/wp-content/themes/Divi/style.css?ver=3.25.2	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-content/themes/Divi/style7ed1.css	(from http://www.mattsexpresscarwash.com/)
13:40:22	2185/2185	---MC-	200	added ('OK')	application/rss+xml	etag:%22952d28b58d8578cdf68b467fdda8996b%22	http://www.mattsexpresscarwash.com/feed/	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/feed/index.html	(from http://www.mattsexpresscarwash.com/)
13:40:22	1731/1731	---MC-	200	added ('OK')	application/rss+xml	etag:%22d79d081ee8b45621898707e951e69195%22	http://www.mattsexpresscarwash.com/comments/feed/	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/comments/feed/index.html	(from http://www.mattsexpresscarwash.com/)
13:40:26	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%22a740ab2-2748-594eb9364b9b0%22	http://www.mattsexpresscarwash.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.mattsexpresscarwash.com/)
13:40:26	870/870	---MC-	200	added ('OK')	text/xml	date:Sun,%2017%20Nov%202019%2021:40:24%20GMT	http://www.mattsexpresscarwash.com/xmlrpc.php?rsd	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/xmlrpc0db0.php	(from http://www.mattsexpresscarwash.com/)
13:40:28	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22a740c5d-415-594eb9364f448%22	http://www.mattsexpresscarwash.com/wp-includes/wlwmanifest.xml	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-includes/wlwmanifest.xml	(from http://www.mattsexpresscarwash.com/)
13:40:32	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%22a740ab7-17a69-594eb9364b9b0%22	http://www.mattsexpresscarwash.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-includes/js/jquery/jquery4a5f.js	(from http://www.mattsexpresscarwash.com/)
13:40:32	2160/2160	---MC-	200	added ('OK')	application/json	date:Sun,%2017%20Nov%202019%2021:40:27%20GMT	http://www.mattsexpresscarwash.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.mattsexpresscarwash.com%2F	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-json/oembed/1.0/embed98c7.json	(from http://www.mattsexpresscarwash.com/)
13:40:32	2235/2235	---MC-	200	added ('OK')	text/xml	date:Sun,%2017%20Nov%202019%2021:40:29%20GMT	http://www.mattsexpresscarwash.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.mattsexpresscarwash.com%2F&format=xml	/Users/timothylentz/Downloads/matts/www.mattsexpresscarwash.com/wp-json/oembed/1.0/embed87cc	(from http://www.mattsexpresscarwash.com/)
